family,provider,asset,domain,pathway,temporal_kind,canonical_unit,licence,status,notes
alphaearth,Google DeepMind,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,Land surface (learned),General land-surface structure; compact summary of terrain/vegetation/settlement semantics,fixed_epoch,unitless (L2-normalised),Open (Earth Engine catalogue),active,64-dim embedding field. Fixed 2017 vintage for all countries; treat as time-invariant descriptor.
ndvi,NOAA CDR,NOAA/CDR/AVHRR/NDVI/V5,Vegetation,Greenness -> crop/forage productivity -> dietary diversity,annual_series,NDVI index [-1 1],Public domain,active,Scale factor 1e-4 applied at harmonisation; raw exports are DN.
ndvi_mean_anomaly,FEWS NET / USGS,local raster,Vegetation,Growing-season anomaly -> acute food availability shock,annual_series,anomaly index,Public domain,partial,Missing for Tanzania; excluded from the all-country intersection.
dailyevi,NASA MODIS,MODIS/061/MOD13Q1,Vegetation,Greenness (atmospherically robust) -> crop productivity,annual_series,EVI index,Public domain,active,Already scaled in every export; no conversion needed.
lai8days,NASA MODIS,MODIS/061/MOD15A2H,Vegetation,Canopy density -> biomass and forage,annual_series,m2/m2,Public domain,active,Scale 0.1. Raster path exported raw DN; EE path pre-scaled. Reconciled at harmonisation.
productivity,NASA MODIS,MODIS/061/MOD17A3HGF,Vegetation,Net primary productivity -> agricultural output,annual_series,kg C/m2/yr,Public domain,active,Scale 1e-4. Raster path raw DN; EE path pre-scaled. Reconciled at harmonisation. QC band dropped.
wapor,FAO,FAO/WAPOR/2/L1_NPP_D,Vegetation,Dekadal NPP -> irrigated/rainfed cropping intensity,annual_series,gC/m2/day,FAO open data,active,Annual mean/sd of dekadal slices; bands are a time series so summaries are meaningful.
trmm,NASA,TRMM/3B43V7,Climate,Rainfall -> crop yield and seasonal food availability,annual_series,mm/hr,Public domain,active,Monthly product averaged to annual mean.
terraclimate,University of Idaho,IDAHO_EPSCOR/TERRACLIMATE,Climate,Water balance / temperature -> agro-ecology and crop suitability,annual_series,per band (see rules),CC0,active,14 distinct bands; per-band scale factors applied. Cross-band summaries are meaningless and are dropped.
lst_night,Oxford MAP / MODIS,Oxford/MAP/LST_Night_5km_Monthly,Climate,Night-time land-surface temperature -> agro-ecology and vector ecology,annual_series,degC,Academic (attribution),active,PRODUCT MISMATCH: four countries from Oxford MAP (degC); Tanzania from a MODIS-derived source in Kelvin. Converted then flagged for validation.
fldas,NASA,NASA/FLDAS/NOAH01/C/GL/M/V001,Climate,Land-surface water/energy balance,annual_series,mixed,Public domain,dropped,Exported only as a mean/sd COLLAPSE over 28 incommensurable bands (dominated by surface pressure). Not a physical quantity. Re-extract per band to reinstate.
atmosphere,NASA MODIS,MODIS/061/MOD08_M3,Climate,Cloud/water vapour,annual_series,mixed,Public domain,dropped,Collapsed over incommensurable optical bands; also missing for Tanzania.
aerosoloptical,NASA MODIS,MODIS/061/MOD08_M3,Climate,Aerosol optical depth -> air quality and biomass burning,annual_series,AOD (unitless),Public domain,partial,Single valid band but absent for Tanzania; re-extract to reinstate.
popdensity,CIESIN,CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Density,Population,Density -> urbanicity market access and diet,annual_series,persons/km2,CC BY 4.0,active,UN-adjusted; 5-yr epochs interpolated to annual in the export.
ghspop,JRC,JRC/GHSL/P2023A/GHS_POP,Population,Population count -> settlement scale,epoch,persons,CC BY 4.0,active,EPOCH MISMATCH: Gambia 2020 vs 2015 elsewhere.
ghsbuilts,JRC,JRC/GHSL/P2023A/GHS_BUILT_S,Built environment,Built surface -> urbanicity and infrastructure,epoch,m2,CC BY 4.0,active,EPOCH MISMATCH: Gambia 2020 vs 2015 elsewhere. Residential/non-residential split retained.
ghsl_smod,JRC,JRC/GHSL/P2023A/GHS_SMOD,Built environment,Degree of urbanisation,epoch,class code,CC BY 4.0,dropped,Zonal MEAN of an ordinal settlement class code is not a physical quantity. Reinstate as class fractions.
