"pattern","class","decision","reason"
"^dhs_(w|c)_anemia_","external_source","include","LK-02 (2026-09-15): INCLUDED. Anaemia measured in a DHS round is external information about the district, measured on different people from the biomarker survey (the one exception, Malawi's MNS nested in the MDHS, is handled by dropping the MNS clusters from every DHS aggregate: metadata/mns_dhs_overlap_clusters.csv). Haemoglobin is measured in far more country-years than ferritin, which is exactly the situation a proxy model serves. The earlier objection - that the headline would read 'anaemia predicts iron deficiency' - is an interpretation question answered by reporting arms with and without external anaemia, not by exclusion."
"^dhs_c_mean_hemoglobin$","external_source","include","LK-02 (2026-09-15): INCLUDED, same reasoning as the anaemia prevalences."
"^dhs_(w_iron_supplement|w_vitA_postpartum|c_vita_supplement)$","external_source","include","LK-02 (2026-09-15): INCLUDED. Supplementation coverage reported in a DHS round is an external intervention indicator; it is not measured on the biomarker survey's respondents."
"^dhs_c_(iron|vita)_rich_food$","external_source","include","LK-02 (2026-09-15): INCLUDED. Nutrient-specific intake elicited in a DHS round is an external dietary indicator (the biomarker survey's own diet items stay in the gw_ block, which the guard in R/data_prep.R keeps out of the proxy arms)."
"^dhs_c_(stunted|wasted|underweight|severely_|overweight|mean_haz|mean_waz|mean_whz)","parallel_outcome","include","Anthropometric failure shares upstream causes with micronutrient deficiency but is a distinct measurement and is not caused by it; standard practice to use as a contextual predictor. Flagged so a reviewer can see it."
"^dhs_c_(neonatal_death|infant_death|under5_death)$","parallel_outcome","include","Child mortality shares causes; distinct measurement."
"^dhs_c_(diarrhea|fever|ari|ort_|zinc_diarrhea)","parallel_outcome","include","Morbidity shares causes and drives nutrient loss; upstream of deficiency at least as much as downstream."
"^dhs_hh_","upstream","include","Household WASH, wealth and assets are structural determinants."
"^dhs_w_(no_education|primary_edu|secondary_plus|edu_years_mean|literate)","upstream","include","Maternal education is a classic structural determinant of child nutrition."
"^dhs_w_(anc|delivery|skilled|unmet_fp|modern_fp|parity|teen_pregnancy|birth_interval|mean_age_first_birth|health_decision)","upstream","include","Reproductive health service access and fertility patterns are upstream drivers."
"^dhs_w_(bmi|height|mean_bmi)","parallel_outcome","include","Maternal anthropometry shares causes; distinct measurement."
"^dhs_(w|c)_(reads_newspaper|watches_tv|listens_radio|any_media)","upstream","include","Media exposure proxies information access and urbanicity."
"^dhs_c_(bcg|dpt|polio|measles|fully_vaccinated|no_vaccination)","upstream","include","Immunisation coverage proxies health-system reach."
"^dhs_(c_slept_itn|c_malaria_rdt|hh_itn|hh_irs)","upstream","include","Malaria exposure and control drive anaemia and inflammation; upstream of the biomarker."
"^dhs_c_(early_initiation|bottle_fed|low_birthweight|mean_birthweight|small_at_birth|diet_diversity|min_diet_diversity)","upstream","include","Infant feeding practice and birth outcomes are upstream determinants. Diet DIVERSITY is a general feeding-quality measure, unlike the nutrient-specific intake items excluded above."
