"country","outcome","n_units","arm","spearman","mae_pp","degenerate"
"Gambia","child_vitA",6,"null_train_mean",NA,8.15,TRUE
"Gambia","child_vitA",6,"spatial",NA,8.15,TRUE
"Gambia","child_vitA",6,"spatial_plus_domain",NA,8.15,TRUE
"Gambia","child_vitA",6,"domain_index",NA,4.07,TRUE
"Gambia","child_vitA",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","women_vitA",6,"null_train_mean",NA,1.96,TRUE
"Gambia","women_vitA",6,"spatial",NA,1.96,TRUE
"Gambia","women_vitA",6,"spatial_plus_domain",NA,1.96,TRUE
"Gambia","women_vitA",6,"domain_index",NA,0.7,TRUE
"Gambia","women_vitA",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","child_iron",6,"null_train_mean",NA,8.25,TRUE
"Gambia","child_iron",6,"spatial",NA,8.25,TRUE
"Gambia","child_iron",6,"spatial_plus_domain",NA,8.25,TRUE
"Gambia","child_iron",6,"domain_index",NA,4.43,TRUE
"Gambia","child_iron",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Gambia","women_iron",6,"null_train_mean",NA,11.45,TRUE
"Gambia","women_iron",6,"spatial",NA,11.45,TRUE
"Gambia","women_iron",6,"spatial_plus_domain",NA,11.45,TRUE
"Gambia","women_iron",6,"domain_index",NA,5.61,TRUE
"Gambia","women_iron",6,"DIFF spatial+dom vs spatial",NA,0,TRUE
"Ghana","child_vitA",16,"null_train_mean",-1,7.99,FALSE
"Ghana","child_vitA",16,"spatial",0.171,6.41,FALSE
"Ghana","child_vitA",16,"spatial_plus_domain",0.162,7.11,FALSE
"Ghana","child_vitA",16,"domain_index",0.312,6.52,FALSE
"Ghana","child_vitA",16,"DIFF spatial+dom vs spatial",NA,-0.7,FALSE
"Ghana","women_vitA",16,"null_train_mean",-1,2.02,FALSE
"Ghana","women_vitA",16,"spatial",0.263,2.1,FALSE
"Ghana","women_vitA",16,"spatial_plus_domain",0.255,2.64,FALSE
"Ghana","women_vitA",16,"domain_index",0.436,1.68,FALSE
"Ghana","women_vitA",16,"DIFF spatial+dom vs spatial",NA,-0.55,FALSE
"Ghana","child_iron",16,"null_train_mean",-1,10.89,FALSE
"Ghana","child_iron",16,"spatial",0.529,10.41,FALSE
"Ghana","child_iron",16,"spatial_plus_domain",0.468,13.14,FALSE
"Ghana","child_iron",16,"domain_index",0.621,10.3,FALSE
"Ghana","child_iron",16,"DIFF spatial+dom vs spatial",NA,-2.73,FALSE
"Ghana","women_iron",16,"null_train_mean",-1,7.85,FALSE
"Ghana","women_iron",16,"spatial",0.506,7.09,FALSE
"Ghana","women_iron",16,"spatial_plus_domain",0.493,6.26,FALSE
"Ghana","women_iron",16,"domain_index",0.528,6.27,FALSE
"Ghana","women_iron",16,"DIFF spatial+dom vs spatial",NA,0.83,FALSE
"Ghana","women_folate",16,"null_train_mean",-1,20.87,FALSE
"Ghana","women_folate",16,"spatial",0.659,17.54,FALSE
"Ghana","women_folate",16,"spatial_plus_domain",0.659,17.54,FALSE
"Ghana","women_folate",16,"domain_index",0.294,26.44,FALSE
"Ghana","women_folate",16,"DIFF spatial+dom vs spatial",NA,0,FALSE
"Ghana","women_b12",16,"null_train_mean",-1,6.76,FALSE
"Ghana","women_b12",16,"spatial",-0.271,8.86,FALSE
"Ghana","women_b12",16,"spatial_plus_domain",-0.114,8.84,FALSE
"Ghana","women_b12",16,"domain_index",0.255,8.44,FALSE
"Ghana","women_b12",16,"DIFF spatial+dom vs spatial",NA,0.02,FALSE
"Malawi","child_vitA",27,"null_train_mean",-0.912,0.87,FALSE
"Malawi","child_vitA",27,"spatial",-0.224,0.89,FALSE
"Malawi","child_vitA",27,"spatial_plus_domain",-0.023,0.88,FALSE
"Malawi","child_vitA",27,"domain_index",0.064,0.91,FALSE
"Malawi","child_vitA",27,"DIFF spatial+dom vs spatial",NA,0.01,FALSE
"Malawi","women_vitA",27,"null_train_mean",-1,0.78,FALSE
"Malawi","women_vitA",27,"spatial",0.071,0.75,FALSE
"Malawi","women_vitA",27,"spatial_plus_domain",0.052,0.75,FALSE
"Malawi","women_vitA",27,"domain_index",-0.417,0.87,FALSE
"Malawi","women_vitA",27,"DIFF spatial+dom vs spatial",NA,0,FALSE
"Malawi","child_iron",27,"null_train_mean",-1,8.67,FALSE
"Malawi","child_iron",27,"spatial",0.023,9.37,FALSE
"Malawi","child_iron",27,"spatial_plus_domain",0.063,8.75,FALSE
