bin,n,mean_pred,mean_obs,n_events,bin_idx,country,outcome
"[0.0479,0.0877]",117,0.07651674318419445,0.17094017094017094,20,1,Gambia,child_vitA
"(0.0877,0.127]",131,0.10764460031377814,0.05343511450381679,7,2,Gambia,child_vitA
"(0.127,0.167]",202,0.14387751067174942,0.19306930693069307,39,3,Gambia,child_vitA
"(0.167,0.206]",111,0.19093415177046852,0.1981981981981982,22,4,Gambia,child_vitA
"(0.206,0.245]",171,0.23076753125606805,0.1695906432748538,29,5,Gambia,child_vitA
"(0.245,0.285]",64,0.274435448874083,0.296875,19,6,Gambia,child_vitA
"(0.285,0.324]",173,0.3033148543414304,0.3468208092485549,60,7,Gambia,child_vitA
"(0.324,0.364]",35,0.3586679804483733,0.2,7,8,Gambia,child_vitA
"(0.364,0.403]",0,NA,NA,NA,9,Gambia,child_vitA
"(0.403,0.443]",16,0.44254415158152655,0.125,2,10,Gambia,child_vitA
"[0.00716,0.0162]",685,0.013026103771072554,0.010218978102189781,7,1,Gambia,women_vitA
"(0.0162,0.0251]",292,0.02063151711820008,0.017123287671232876,5,2,Gambia,women_vitA
"(0.0251,0.034]",25,0.027529611962624705,0,0,3,Gambia,women_vitA
"(0.034,0.0429]",203,0.03901991914894183,0.04433497536945813,9,4,Gambia,women_vitA
"(0.0429,0.0519]",113,0.04580685149557574,0.09734513274336283,11,5,Gambia,women_vitA
"(0.0519,0.0608]",20,0.05313433798326291,0,0,6,Gambia,women_vitA
"(0.0608,0.0697]",37,0.06461283686841074,0.10810810810810811,4,7,Gambia,women_vitA
"(0.0697,0.0786]",22,0.07292016083045533,0.045454545454545456,1,8,Gambia,women_vitA
"(0.0786,0.0875]",12,0.0811020678574584,0.08333333333333333,1,9,Gambia,women_vitA
"(0.0875,0.0966]",4,0.09646422247890303,0,0,10,Gambia,women_vitA
"[0.414,0.415]",102,0.4138309549945115,0.47058823529411764,48,1,Gambia,child_iron
"(0.415,0.417]",218,0.41635220125786165,0.43119266055045874,94,2,Gambia,child_iron
"(0.417,0.419]",0,NA,NA,NA,3,Gambia,child_iron
"(0.419,0.42]",410,0.4195559095410835,0.4195121951219512,172,4,Gambia,child_iron
"(0.42,0.422]",0,NA,NA,NA,5,Gambia,child_iron
"(0.422,0.424]",0,NA,NA,NA,6,Gambia,child_iron
"(0.424,0.425]",0,NA,NA,NA,7,Gambia,child_iron
"(0.425,0.427]",0,NA,NA,NA,8,Gambia,child_iron
"(0.427,0.429]",0,NA,NA,NA,9,Gambia,child_iron
"(0.429,0.43]",283,0.4301369863013699,0.392226148409894,111,10,Gambia,child_iron
"[0.0489,0.112]",63,0.07080369831817981,0.47619047619047616,30,1,Gambia,women_iron
"(0.112,0.174]",125,0.15751576800249192,0.272,34,2,Gambia,women_iron
"(0.174,0.237]",375,0.19269407434584868,0.18133333333333335,68,3,Gambia,women_iron
"(0.237,0.299]",198,0.27583934378332425,0.2828282828282828,56,4,Gambia,women_iron
"(0.299,0.361]",252,0.325814696790894,0.4007936507936508,101,5,Gambia,women_iron
"(0.361,0.424]",264,0.3949198552701086,0.3560606060606061,94,6,Gambia,women_iron
"(0.424,0.486]",83,0.4463858388257531,0.3253012048192771,27,7,Gambia,women_iron
"(0.486,0.549]",14,0.5087367447498172,0.7142857142857143,10,8,Gambia,women_iron
"(0.549,0.611]",0,NA,NA,NA,9,Gambia,women_iron
"(0.611,0.674]",28,0.6525716317741691,0.6071428571428571,17,10,Gambia,women_iron
"[0.136,0.139]",505,0.1364223279870289,0.19603960396039605,99,1,Ghana,child_vitA
"(0.139,0.142]",0,NA,NA,NA,2,Ghana,child_vitA
"(0.142,0.145]",0,NA,NA,NA,3,Ghana,child_vitA
"(0.145,0.148]",0,NA,NA,NA,4,Ghana,child_vitA
"(0.148,0.151]",0,NA,NA,NA,5,Ghana,child_vitA
"(0.151,0.155]",202,0.15160955347871236,0.13861386138613863,28,6,Ghana,child_vitA
"(0.155,0.158]",210,0.1549738219895288,0.12380952380952381,26,7,Ghana,child_vitA
"(0.158,0.161]",0,NA,NA,NA,8,Ghana,child_vitA
"(0.161,0.164]",0,NA,NA,NA,9,Ghana,child_vitA
"(0.164,0.167]",248,0.1668484187568157,0.0846774193548387,21,10,Ghana,child_vitA
"[0.00909,0.0101]",223,0.0091027308192457735,0.03587443946188341,8,1,Ghana,women_vitA
"(0.0101,0.0111]",0,NA,NA,NA,2,Ghana,women_vitA
"(0.0111,0.0121]",0,NA,NA,NA,3,Ghana,women_vitA
"(0.0121,0.013]",0,NA,NA,NA,4,Ghana,women_vitA
"(0.013,0.014]",185,0.013630731102850062,0.021621621621621623,4,5,Ghana,women_vitA
"(0.014,0.015]",0,NA,NA,NA,6,Ghana,women_vitA
"(0.015,0.016]",0,NA,NA,NA,7,Ghana,women_vitA
"(0.016,0.017]",182,0.016049382716049384,0.01098901098901099,2,8,Ghana,women_vitA
"(0.017,0.018]",201,0.017699115044247787,0.004975124378109453,1,9,Ghana,women_vitA
"(0.018,0.019]",201,0.018963337547408345,0,0,10,Ghana,women_vitA
"[0.0462,0.103]",86,0.0682377849506435,0.023255813953488372,2,1,Ghana,child_iron
"(0.103,0.159]",316,0.13120365377506982,0.1360759493670886,43,2,Ghana,child_iron
"(0.159,0.215]",251,0.19318861835975773,0.21115537848605578,53,3,Ghana,child_iron
"(0.215,0.272]",158,0.24721290078362693,0.25949367088607594,41,4,Ghana,child_iron
"(0.272,0.328]",102,0.3001609829756421,0.20588235294117646,21,5,Ghana,child_iron
"(0.328,0.384]",43,0.34626995318528164,0.27906976744186046,12,6,Ghana,child_iron
"(0.384,0.44]",71,0.4309612275540526,0.5633802816901409,40,7,Ghana,child_iron
"(0.44,0.496]",83,0.4630919330613407,0.4578313253012048,38,8,Ghana,child_iron
"(0.496,0.552]",42,0.5083452292155349,0.5,21,9,Ghana,child_iron
"(0.552,0.609]",13,0.6086137445898724,0.5384615384615384,7,10,Ghana,child_iron
"[0.0244,0.0533]",238,0.040178980192021034,0.0546218487394958,13,1,Ghana,women_iron
"(0.0533,0.0819]",226,0.06865478384716006,0.0752212389380531,17,2,Ghana,women_iron
"(0.0819,0.111]",289,0.09559780278319985,0.08996539792387544,26,3,Ghana,women_iron
"(0.111,0.139]",91,0.12031320773358031,0.0989010989010989,9,4,Ghana,women_iron
"(0.139,0.168]",89,0.15130226222930976,0.0898876404494382,8,5,Ghana,women_iron
"(0.168,0.196]",13,0.18483555973750748,0.38461538461538464,5,6,Ghana,women_iron
"(0.196,0.225]",0,NA,NA,NA,7,Ghana,women_iron
"(0.225,0.254]",20,0.25164239272820865,0.2,4,8,Ghana,women_iron
"(0.254,0.282]",7,0.2572970520784786,0.14285714285714285,1,9,Ghana,women_iron
"(0.282,0.311]",8,0.31091392189150624,0,0,10,Ghana,women_iron
"[0.0771,0.154]",6,0.10063228401710479,0.16666666666666666,1,1,Ghana,women_folate
"(0.154,0.229]",12,0.17951843360342548,0,0,2,Ghana,women_folate
"(0.229,0.305]",4,0.28942924317887964,0,0,3,Ghana,women_folate
"(0.305,0.381]",21,0.3526578709458199,0.3333333333333333,7,4,Ghana,women_folate
"(0.381,0.456]",57,0.4253276057203571,0.5263157894736842,30,5,Ghana,women_folate
"(0.456,0.532]",142,0.49979871723139385,0.5845070422535211,83,6,Ghana,women_folate
"(0.532,0.608]",81,0.5627978701335565,0.5061728395061729,41,7,Ghana,women_folate
"(0.608,0.684]",70,0.6522852905633536,0.6142857142857143,43,8,Ghana,women_folate
"(0.684,0.759]",47,0.7097748035079082,0.6382978723404256,30,9,Ghana,women_folate
"(0.759,0.836]",35,0.8075309227533545,0.7142857142857143,25,10,Ghana,women_folate
"[-0.000314,0.0315]",42,0.022079359914426267,0.047619047619047616,2,1,Ghana,women_b12
"(0.0315,0.0629]",213,0.045675042488189495,0.04225352112676056,9,2,Ghana,women_b12
"(0.0629,0.0944]",106,0.07051137730999851,0.07547169811320754,8,3,Ghana,women_b12
"(0.0944,0.126]",29,0.10915436428994395,0,0,4,Ghana,women_b12
"(0.126,0.157]",23,0.1382230971308702,0.043478260869565216,1,5,Ghana,women_b12
"(0.157,0.189]",20,0.17561156938497263,0.25,5,6,Ghana,women_b12
"(0.189,0.22]",16,0.20376420962463593,0.25,4,7,Ghana,women_b12
"(0.22,0.252]",0,NA,NA,NA,8,Ghana,women_b12
"(0.252,0.283]",8,0.26123954534634425,0.625,5,9,Ghana,women_b12
"(0.283,0.315]",16,0.30655724954836655,0.375,6,10,Ghana,women_b12
"[0.0213,0.0486]",36,0.034184000387143955,0.1111111111111111,4,1,Sierra Leone,child_vitA
"(0.0486,0.0757]",94,0.0647013875856922,0.10638297872340426,10,2,Sierra Leone,child_vitA
"(0.0757,0.103]",57,0.09132034732237293,0.15789473684210525,9,3,Sierra Leone,child_vitA
"(0.103,0.13]",96,0.11937027957466752,0.14583333333333334,14,4,Sierra Leone,child_vitA
"(0.13,0.157]",55,0.14423742284411925,0.09090909090909091,5,5,Sierra Leone,child_vitA
"(0.157,0.184]",44,0.17240208417626873,0.13636363636363635,6,6,Sierra Leone,child_vitA
"(0.184,0.211]",45,0.19576280427966625,0.15555555555555556,7,7,Sierra Leone,child_vitA
"(0.211,0.238]",26,0.22264396075616721,0.07692307692307693,2,8,Sierra Leone,child_vitA
"(0.238,0.265]",0,NA,NA,NA,9,Sierra Leone,child_vitA
"(0.265,0.292]",33,0.29171850123799564,0.12121212121212122,4,10,Sierra Leone,child_vitA
"[0.00192,0.00974]",218,0.00676851490313075,0.01834862385321101,4,1,Sierra Leone,women_vitA
"(0.00974,0.0175]",212,0.013349106681062371,0.02358490566037736,5,2,Sierra Leone,women_vitA
"(0.0175,0.0252]",113,0.020207764937410205,0,0,3,Sierra Leone,women_vitA
"(0.0252,0.033]",84,0.02967321189040751,0,0,4,Sierra Leone,women_vitA
"(0.033,0.0407]",61,0.0354927545006432,0.03278688524590164,2,5,Sierra Leone,women_vitA
"(0.0407,0.0485]",10,0.046642138068909926,0.1,1,6,Sierra Leone,women_vitA
"(0.0485,0.0562]",11,0.05030394349162916,0.09090909090909091,1,7,Sierra Leone,women_vitA
"(0.0562,0.064]",32,0.0602704524767143,0.03125,1,8,Sierra Leone,women_vitA
"(0.064,0.0717]",5,0.06410122731094686,0,0,9,Sierra Leone,women_vitA
"(0.0717,0.0795]",28,0.0765264088053097,0,0,10,Sierra Leone,women_vitA
"[0.0111,0.03]",120,0.020875259171685336,0.058333333333333334,7,1,Sierra Leone,child_iron
"(0.03,0.0486]",157,0.039012582487903916,0.06369426751592357,10,2,Sierra Leone,child_iron
"(0.0486,0.0673]",102,0.058196010197428684,0.029411764705882353,3,3,Sierra Leone,child_iron
"(0.0673,0.086]",23,0.08024844147097601,0.043478260869565216,1,4,Sierra Leone,child_iron
"(0.086,0.105]",19,0.0881190922874859,0.05263157894736842,1,5,Sierra Leone,child_iron
"(0.105,0.123]",45,0.11141465797531702,0.06666666666666667,3,6,Sierra Leone,child_iron
"(0.123,0.142]",0,NA,NA,NA,7,Sierra Leone,child_iron
"(0.142,0.161]",0,NA,NA,NA,8,Sierra Leone,child_iron
"(0.161,0.179]",6,0.1655060511007836,0.16666666666666666,1,9,Sierra Leone,child_iron
"(0.179,0.198]",14,0.19813146838262116,0.14285714285714285,2,10,Sierra Leone,child_iron
"[0.0505,0.0656]",140,0.05924204393689122,0.06428571428571428,9,1,Sierra Leone,women_iron
"(0.0656,0.0805]",197,0.07443374834084873,0.050761421319796954,10,2,Sierra Leone,women_iron
"(0.0805,0.0954]",100,0.08728770695626736,0.09,9,3,Sierra Leone,women_iron
"(0.0954,0.11]",144,0.10244571298567785,0.13194444444444445,19,4,Sierra Leone,women_iron
"(0.11,0.125]",72,0.11321462069948514,0.1388888888888889,10,5,Sierra Leone,women_iron
"(0.125,0.14]",27,0.12688596381081474,0,0,6,Sierra Leone,women_iron
"(0.14,0.155]",28,0.1478706853730338,0.21428571428571427,6,7,Sierra Leone,women_iron
"(0.155,0.17]",31,0.16349693652122252,0.22580645161290322,7,8,Sierra Leone,women_iron
"(0.17,0.185]",6,0.1760149598121643,0.3333333333333333,2,9,Sierra Leone,women_iron
"(0.185,0.2]",29,0.19185230238684292,0.034482758620689655,1,10,Sierra Leone,women_iron
"[0.413,0.469]",37,0.42119291422242866,0.8918918918918919,33,1,Sierra Leone,women_folate
"(0.469,0.524]",0,NA,NA,NA,2,Sierra Leone,women_folate
"(0.524,0.579]",0,NA,NA,NA,3,Sierra Leone,women_folate
"(0.579,0.635]",27,0.5993480390602829,0.7777777777777778,21,4,Sierra Leone,women_folate
"(0.635,0.69]",91,0.6549896082125731,0.7692307692307693,70,5,Sierra Leone,women_folate
"(0.69,0.745]",68,0.7198185739127249,0.6470588235294118,44,6,Sierra Leone,women_folate
"(0.745,0.8]",233,0.7766500446665651,0.7854077253218884,183,7,Sierra Leone,women_folate
"(0.8,0.855]",74,0.8215251519617792,0.8243243243243243,61,8,Sierra Leone,women_folate
"(0.855,0.91]",196,0.8834446669840372,0.826530612244898,162,9,Sierra Leone,women_folate
"(0.91,0.966]",40,0.9393551315730452,0.85,34,10,Sierra Leone,women_folate
"[0.0033,0.00363]",162,0.0033003300330032887,0.012345679012345678,2,1,Sierra Leone,women_b12
"(0.00363,0.00396]",0,NA,NA,NA,2,Sierra Leone,women_b12
"(0.00396,0.00429]",0,NA,NA,NA,3,Sierra Leone,women_b12
"(0.00429,0.00462]",0,NA,NA,NA,4,Sierra Leone,women_b12
"(0.00462,0.00496]",130,0.004702194357366781,0.007692307692307693,1,5,Sierra Leone,women_b12
"(0.00496,0.00529]",171,0.005025125628140704,0.005847953216374269,1,6,Sierra Leone,women_b12
"(0.00529,0.00562]",0,NA,NA,NA,7,Sierra Leone,women_b12
"(0.00562,0.00595]",0,NA,NA,NA,8,Sierra Leone,women_b12
"(0.00595,0.00628]",0,NA,NA,NA,9,Sierra Leone,women_b12
"(0.00628,0.00661]",305,0.006508308830245009,0,0,10,Sierra Leone,women_b12
"[0.0202,0.0696]",396,0.046429237045812505,0.08080808080808081,32,1,Malawi,child_vitA
"(0.0696,0.118]",491,0.0906406320772088,0.07331975560081466,36,2,Malawi,child_vitA
"(0.118,0.167]",125,0.13373762350799379,0.136,17,3,Malawi,child_vitA
"(0.167,0.216]",56,0.18666926904995648,0.2857142857142857,16,4,Malawi,child_vitA
"(0.216,0.265]",19,0.24538486709110216,0.05263157894736842,1,5,Malawi,child_vitA
"(0.265,0.314]",0,NA,NA,NA,6,Malawi,child_vitA
"(0.314,0.363]",0,NA,NA,NA,7,Malawi,child_vitA
"(0.363,0.412]",0,NA,NA,NA,8,Malawi,child_vitA
"(0.412,0.461]",0,NA,NA,NA,9,Malawi,child_vitA
"(0.461,0.51]",15,0.5094150414253984,0.06666666666666667,1,10,Malawi,child_vitA
"[-3.16e-05,0.00627]",557,0.0014207159032335835,0.005385996409335727,3,1,Malawi,women_vitA
"(0.00627,0.0125]",112,0.0099728277151827,0.03571428571428571,4,2,Malawi,women_vitA
"(0.0125,0.0188]",76,0.015071221523261558,0.013157894736842105,1,3,Malawi,women_vitA
"(0.0188,0.025]",6,0.023752689397944855,0.16666666666666666,1,4,Malawi,women_vitA
"(0.025,0.0313]",0,NA,NA,NA,5,Malawi,women_vitA
"(0.0313,0.0375]",18,0.032870172015833525,0.1111111111111111,2,6,Malawi,women_vitA
"(0.0375,0.0437]",15,0.04033498818683048,0,0,7,Malawi,women_vitA
"(0.0437,0.05]",12,0.04939819206768037,0,0,8,Malawi,women_vitA
"(0.05,0.0562]",0,NA,NA,NA,9,Malawi,women_vitA
"(0.0562,0.0625]",11,0.06247252477205123,0,0,10,Malawi,women_vitA
"[0.034,0.0578]",99,0.045426075353669326,0.10101010101010101,10,1,Malawi,child_iron
"(0.0578,0.0814]",201,0.07079909262271583,0.07462686567164178,15,2,Malawi,child_iron
"(0.0814,0.105]",276,0.0934104520931247,0.08333333333333333,23,3,Malawi,child_iron
"(0.105,0.128]",304,0.11487460214414523,0.07236842105263158,22,4,Malawi,child_iron
"(0.128,0.152]",107,0.13891338634403996,0.17757009345794392,19,5,Malawi,child_iron
"(0.152,0.176]",38,0.16626016375515196,0.10526315789473684,4,6,Malawi,child_iron
"(0.176,0.199]",13,0.1815298167055553,0.07692307692307693,1,7,Malawi,child_iron
"(0.199,0.223]",31,0.21196596933107947,0.1935483870967742,6,8,Malawi,child_iron
"(0.223,0.246]",24,0.23299585694866215,0.16666666666666666,4,9,Malawi,child_iron
"(0.246,0.27]",9,0.26332917007807927,0.3333333333333333,3,10,Malawi,child_iron
"[0.0497,0.0759]",295,0.06322540479191278,0.07796610169491526,23,1,Malawi,women_iron
"(0.0759,0.102]",244,0.08865045887402824,0.11475409836065574,28,2,Malawi,women_iron
"(0.102,0.128]",104,0.11346819258939761,0.057692307692307696,6,3,Malawi,women_iron
"(0.128,0.154]",55,0.14207115959037434,0.16363636363636364,9,4,Malawi,women_iron
"(0.154,0.18]",20,0.16210606545209885,0.1,2,5,Malawi,women_iron
"(0.18,0.206]",29,0.19241084980553594,0.13793103448275862,4,6,Malawi,women_iron
"(0.206,0.232]",0,NA,NA,NA,7,Malawi,women_iron
"(0.232,0.258]",0,NA,NA,NA,8,Malawi,women_iron
"(0.258,0.284]",0,NA,NA,NA,9,Malawi,women_iron
"(0.284,0.31]",5,0.3098301589488983,0.4,2,10,Malawi,women_iron
"[0.0267,0.0761]",54,0.0573223619537153,0.1111111111111111,6,1,Malawi,women_folate
"(0.0761,0.125]",182,0.10314950553849903,0.08241758241758242,15,2,Malawi,women_folate
"(0.125,0.174]",136,0.1481194369208586,0.17647058823529413,24,3,Malawi,women_folate
"(0.174,0.223]",134,0.19701575944273086,0.23880597014925373,32,4,Malawi,women_folate
"(0.223,0.271]",62,0.24571025736656593,0.20967741935483872,13,5,Malawi,women_folate
"(0.271,0.32]",78,0.2882386547422176,0.358974358974359,28,6,Malawi,women_folate
"(0.32,0.369]",54,0.3371220530895339,0.2222222222222222,12,7,Malawi,women_folate
"(0.369,0.418]",48,0.3978542813577401,0.3958333333333333,19,8,Malawi,women_folate
"(0.418,0.467]",35,0.43793644804392207,0.2857142857142857,10,9,Malawi,women_folate
"(0.467,0.516]",16,0.4982092071245414,0.4375,7,10,Malawi,women_folate
"[0.0035,0.0132]",224,0.009525265127013783,0.004464285714285714,1,1,Malawi,women_b12
"(0.0132,0.0228]",145,0.01710526061477334,0.006896551724137931,1,2,Malawi,women_b12
"(0.0228,0.0323]",132,0.026678825708047936,0.007575757575757576,1,3,Malawi,women_b12
"(0.0323,0.0419]",65,0.03642907756126941,0.03076923076923077,2,4,Malawi,women_b12
