"frozen_path","source_path","group","why","md5","bytes","source_mtime","frozen_date"
"results/tables/frozen_2026-08/sandbox_parsimony_out/decision_accuracy.csv","sandbox_parsimony/out/decision_accuracy.csv","sandbox_parsimony_out","decision accuracy and level reliability","be2a3e8ae66e08d56f10fb3264d50edc",1869,"2026-08-20 15:07:41","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/hygiene_effect.csv","sandbox_parsimony/out/hygiene_effect.csv","sandbox_parsimony_out","covariate-hygiene effect, sandbox","cbb714fc34126e0527995a9cad5a6873",20393,"2026-08-20 14:36:39","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/level_reliability.csv","sandbox_parsimony/out/level_reliability.csv","sandbox_parsimony_out","decision accuracy and level reliability","683585fff084b4fe1e022fa6dc7241f3",4006,"2026-08-20 15:22:21","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/level_reliability_ext.csv","sandbox_parsimony/out/level_reliability_ext.csv","sandbox_parsimony_out","decision accuracy and level reliability","04cfffa1c566ba7b8bc9540759902b6a",2310,"2026-08-20 15:57:22","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/loco_bakeoff.csv","sandbox_parsimony/out/loco_bakeoff.csv","sandbox_parsimony_out","parsimonious LOCO headline","688b36fe9929962781cb6edaea8f46d3",30081,"2026-08-20 14:53:47","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/loco_headline.csv","sandbox_parsimony/out/loco_headline.csv","sandbox_parsimony_out","parsimonious LOCO headline","0122ec46eff745e0c76d91f083c60979",35247,"2026-08-20 14:18:02","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/loco_spatial.csv","sandbox_parsimony/out/loco_spatial.csv","sandbox_parsimony_out","parsimonious LOCO headline","f7eed425560eb4883ed65608ff8ed0c7",22981,"2026-08-20 14:55:18","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/national_recovery.csv","sandbox_parsimony/out/national_recovery.csv","sandbox_parsimony_out","national recovery, sandbox critical review","d68534d87e136e5b2a2cfaa9535640d9",4060,"2026-08-20 16:16:05","2026-08-27"
"results/tables/frozen_2026-08/sandbox_parsimony_out/spatial_plus_soil_rescored.csv","sandbox_parsimony/out/spatial_plus_soil_rescored.csv","sandbox_parsimony_out","spatial_plus_soil under original vs leakage-corrected selection","6c514c056f708fafe5171d66f03e6a4b",4173,"2026-08-20 17:31:34","2026-08-27"
"results/tables/frozen_2026-08/sensitivity/covariate_hygiene_comparison.csv","results/sensitivity/covariate_hygiene_comparison.csv","sensitivity","covariate-hygiene v1 to v2 comparison","747421c527d376b9e989c99292e45a48",3125,"2026-08-18 13:42:03","2026-08-27"
"results/tables/frozen_2026-08/sensitivity/distributional_prototype_metrics.csv","results/sensitivity/distributional_prototype_metrics.csv","sensitivity","distributional-estimator prototype (WS4 precedent)","83ebfba548456f797ef4d823883ee3a8",1178,"2026-06-30 09:46:41","2026-08-27"
