outcome,threshold,severity_label,population,source_document,source_url,verified_against_source,note
child_vitA,0.02,mild public health problem,Preschool-age children,"WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005. WHO Global Database on Vitamin A Deficiency.",https://www.who.int/publications/i/item/9789241598019,FALSE,"Serum retinol < 0.70 umol/L. Categories as published: >=2 to <10 percent mild, >=10 to <20 percent moderate, >=20 percent severe."
child_vitA,0.10,moderate public health problem,Preschool-age children,"WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005.",https://www.who.int/publications/i/item/9789241598019,FALSE,"Serum retinol < 0.70 umol/L."
child_vitA,0.20,severe public health problem,Preschool-age children,"WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005.",https://www.who.int/publications/i/item/9789241598019,FALSE,"Serum retinol < 0.70 umol/L."
women_vitA,0.02,mild public health problem,Women of reproductive age,"WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005.",https://www.who.int/publications/i/item/9789241598019,FALSE,"Applied by analogy to the preschool-child categories; WHO does not publish a separate women's severity scale for RBP. Treat as indicative only."
women_vitA,0.10,moderate public health problem,Women of reproductive age,"WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005.",https://www.who.int/publications/i/item/9789241598019,FALSE,"Applied by analogy; see the mild row."
women_vitA,0.20,severe public health problem,Women of reproductive age,"WHO (2009). Global prevalence of vitamin A deficiency in populations at risk 1995-2005.",https://www.who.int/publications/i/item/9789241598019,FALSE,"Applied by analogy; see the mild row."
child_zinc,0.20,elevated risk of zinc deficiency,Preschool-age children,"IZiNCG (2004). Assessment of the risk of zinc deficiency in populations and options for its control. Technical Document No. 1.",https://www.izincg.org/publications,FALSE,"IZiNCG recommends treating a population as at elevated risk when more than 20 percent have low serum zinc."
women_zinc,0.20,elevated risk of zinc deficiency,Women of reproductive age,"IZiNCG (2004). Technical Document No. 1.",https://www.izincg.org/publications,FALSE,"See the child_zinc row."
child_iron,0.20,public health significance threshold (indicative),Preschool-age children,"WHO (2020). WHO guideline on use of ferritin concentrations to assess iron status in individuals and populations.",https://www.who.int/publications/i/item/9789240000124,FALSE,"WHO defines the individual cut-point (<12 ug/L in children) but does NOT publish a population severity scale for iron deficiency equivalent to the vitamin A one. This 20 percent value is a convention used in the literature, not a WHO category. Do not present it as a WHO threshold."
women_iron,0.20,public health significance threshold (indicative),Women of reproductive age,"WHO (2020). WHO guideline on use of ferritin concentrations to assess iron status.",https://www.who.int/publications/i/item/9789240000124,FALSE,"See the child_iron row. Cut-point <15 ug/L in women. The 20 percent population figure is a convention, not a WHO category."
