"source","target","method","jw"
"Balaka","balaka","exact",NA
"Blantyre","blantyre","exact",NA
"Chikwawa","chikwawa","exact",NA
"Chiradzulu","chiradzulu","exact",NA
"Chitipa","chitipa","exact",NA
"Dedza","dedza","exact",NA
"Dowa","dowa","exact",NA
"Karonga","karonga","exact",NA
"Kasungu","kasungu","exact",NA
"Lilongwe","lilongwe","exact",NA
"Machinga","machinga","exact",NA
"Mangochi","mangochi","exact",NA
"Mchinji","mchinji","exact",NA
"Mulanje","mulanje","exact",NA
"Mwanza","mwanza","exact",NA
"Mzimba","mzimba","exact",NA
"Neno","neno","exact",NA
"Nkhata Bay","nkhata bay","exact",NA
"Nkhotakota","nkhotakota","exact",NA
"Nsanje","nsanje","exact",NA
"Ntcheu","ntcheu","exact",NA
"Ntchisi","ntchisi","exact",NA
"Phalombe","phalombe","exact",NA
"Rumphi","rumphi","exact",NA
"Salima","salima","exact",NA
"Thyolo","thyolo","exact",NA
"Zomba","zomba","exact",NA
