"country","outcome","n_units_multi","n_resp","r_within","r_cluster","ceiling_within","ceiling_cluster","inflation"
"Gambia","child_vitA",13,729,0.532957740783007,0.404949225640462,0.833866052469949,0.759250295481209,0.075
"Gambia","women_vitA",13,1074,0.549123087309909,0.490939882132334,0.841989908469887,0.811519740713512,0.03
"Gambia","child_iron",13,725,0.521153514895254,0.35690638284175,0.827773103207333,0.725299223606882,0.102
"Gambia","women_iron",13,1064,0.389372551634457,0.0124177205081971,0.748666338877237,0.156623191446536,0.592
"Ghana","child_vitA",13,355,-0.18711406484032,-0.180362370994687,0,0,0
"Ghana","women_vitA",13,302,0.213906688977434,0.498142994537413,0.593655544481873,0.815483874196154,-0.222
"Ghana","child_iron",13,355,0.680894148742215,0.672669299880778,0.900087263146907,0.896831303044416,0.003
"Ghana","women_iron",13,296,0.419675815954725,0.504370093077215,0.768913307852139,0.81886501302623,-0.05
"SierraLeone","child_vitA",14,486,-0.0189854087438048,-0.207829563541973,0,0,0
"SierraLeone","women_vitA",14,774,0.0932098331493806,0.0481198473558324,0.412946793700787,0.303020245612855,0.11
"SierraLeone","child_iron",14,486,0.035215217334545,-0.148159104599808,0.260834395881855,0,0.261
"SierraLeone","women_iron",14,774,0.164308801402053,-0.0716995630529047,0.531265141993811,0,0.531
"Malawi","child_vitA",13,313,-0.0992754360295803,-0.199279262594816,0,0,0
"Malawi","women_vitA",13,231,NA,NA,NA,NA,NA
"Malawi","child_iron",13,313,0.314206823669071,0.395891735351109,0.691498026733767,0.753142832939021,-0.062
"Malawi","women_iron",13,217,0.428088317477596,0.482945872350879,0.774290895570908,0.807052110120682,-0.033
