"country","outcome","scheme","honest","auc","brier","auc_ci_lo","auc_ci_hi"
"Gambia","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5664,0.242,0.5273,0.6008
"Gambia","child_iron","region/spatial-block CV",TRUE,0.5439,0.2435,0.4967,0.5869
"Gambia","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5301,0.2457,NA,NA
"Gambia","child_iron","cluster-block CV",TRUE,0.525,0.2484,0.4842,0.567
"Gambia","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6464,0.1534,0.5838,0.6994
"Gambia","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6271,0.1562,NA,NA
"Gambia","child_vitA","region/spatial-block CV",TRUE,0.6108,0.1578,0.563,0.6624
"Gambia","child_vitA","cluster-block CV",TRUE,0.598,0.1606,0.5532,0.6441
"Gambia","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.6259,0.2048,0.5808,0.6588
"Gambia","women_iron","region/spatial-block CV",TRUE,0.6127,0.2064,0.5709,0.6473
"Gambia","women_iron","cluster-block CV",TRUE,0.609,0.2076,0.563,0.6521
"Gambia","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5798,0.2113,NA,NA
"Gambia","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7344,0.0257,NA,NA
"Gambia","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.71,0.0262,0.588,0.8004
"Gambia","women_vitA","cluster-block CV",TRUE,0.6221,0.0261,0.4854,0.7432
"Gambia","women_vitA","region/spatial-block CV",TRUE,0.4594,0.2825,0.3625,0.5642
"Ghana","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7011,0.1638,NA,NA
"Ghana","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.6726,0.1682,0.5963,0.7237
"Ghana","child_iron","cluster-block CV",TRUE,0.6629,0.1702,0.6007,0.7098
"Ghana","child_iron","region/spatial-block CV",TRUE,0.6355,0.1782,0.5706,0.6902
"Ghana","child_vitA","cluster-block CV",TRUE,0.5977,0.1262,0.5353,0.6556
"Ghana","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.595,0.1283,NA,NA
"Ghana","child_vitA","region/spatial-block CV",TRUE,0.5628,0.1276,0.5054,0.6115
"Ghana","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.5483,0.1295,0.4564,0.6173
"Ghana","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6981,0.0703,NA,NA
"Ghana","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.6661,0.0708,0.5319,0.7624
"Ghana","women_b12","cluster-block CV",TRUE,0.6353,0.0762,0.5213,0.7224
"Ghana","women_b12","region/spatial-block CV",TRUE,0.6286,0.0781,0.5179,0.7191
"Ghana","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.6042,0.253,0.5411,0.6724
"Ghana","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5947,0.2393,NA,NA
"Ghana","women_folate","cluster-block CV",TRUE,0.579,0.2476,0.5165,0.647
"Ghana","women_folate","region/spatial-block CV",TRUE,0.5401,0.2745,0.4676,0.6085
"Ghana","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5949,0.0774,NA,NA
"Ghana","women_iron","cluster-block CV",TRUE,0.5799,0.0771,0.5032,0.6494
"Ghana","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.573,0.0778,0.4943,0.636
"Ghana","women_iron","region/spatial-block CV",TRUE,0.5629,0.0783,0.5004,0.626
"Ghana","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7455,0.015,NA,NA
"Ghana","women_vitA","region/spatial-block CV",TRUE,0.6465,0.015,0.5069,0.7805
"Ghana","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6009,0.0159,0.4291,0.7725
"Ghana","women_vitA","cluster-block CV",TRUE,0.4422,0.0153,0.3074,0.5725
"Malawi","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5654,0.0874,NA,NA
"Malawi","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5479,0.0872,0.4721,0.6234
"Malawi","child_iron","cluster-block CV",TRUE,0.5423,0.0874,0.4664,0.6159
"Malawi","child_iron","region/spatial-block CV",TRUE,0.5298,0.0862,0.454,0.5961
"Malawi","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.5999,0.0864,0.5109,0.6712
"Malawi","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5809,0.0848,NA,NA
"Malawi","child_vitA","region/spatial-block CV",TRUE,0.574,0.1046,0.4921,0.6499
"Malawi","child_vitA","cluster-block CV",TRUE,0.5257,0.0874,0.4467,0.6075
