"country","outcome","scheme","honest","auc","brier","auc_ci_lo","auc_ci_hi"
"Gambia","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.5749,0.2411,0.5373,0.6071
"Gambia","child_iron","region/spatial-block CV",TRUE,0.5697,0.2399,0.5265,0.6089
"Gambia","child_iron","cluster-block CV",TRUE,0.5524,0.2435,0.509,0.5959
"Gambia","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5301,0.2457,NA,NA
"Gambia","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.6374,0.156,0.5776,0.6858
"Gambia","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6271,0.1562,NA,NA
"Gambia","child_vitA","region/spatial-block CV",TRUE,0.6149,0.1576,0.5544,0.6757
"Gambia","child_vitA","cluster-block CV",TRUE,0.6,0.1612,0.5554,0.6505
"Gambia","women_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.622,0.206,0.576,0.6554
"Gambia","women_iron","region/spatial-block CV",TRUE,0.5975,0.2099,0.5576,0.6312
"Gambia","women_iron","cluster-block CV",TRUE,0.5919,0.2099,0.5463,0.6332
"Gambia","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5798,0.2113,NA,NA
"Gambia","women_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.7581,0.0254,0.6631,0.8322
"Gambia","women_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7344,0.0257,NA,NA
"Gambia","women_vitA","region/spatial-block CV",TRUE,0.6994,0.0259,0.5924,0.8033
"Gambia","women_vitA","cluster-block CV",TRUE,0.6373,0.0259,0.499,0.7731
"Ghana","child_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.7011,0.1638,NA,NA
"Ghana","child_iron","random CV + full-data preprocessing (optimistic)",FALSE,0.6782,0.1678,0.6045,0.729
"Ghana","child_iron","cluster-block CV",TRUE,0.6664,0.1713,0.6075,0.7108
"Ghana","child_iron","region/spatial-block CV",TRUE,0.641,0.1777,0.5831,0.6893
"Ghana","child_vitA","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.595,0.1283,NA,NA
"Ghana","child_vitA","cluster-block CV",TRUE,0.5888,0.1253,0.5248,0.6438
"Ghana","child_vitA","random CV + full-data preprocessing (optimistic)",FALSE,0.547,0.1317,0.4601,0.618
"Ghana","child_vitA","region/spatial-block CV",TRUE,0.5299,0.129,0.4743,0.5797
"Ghana","women_b12","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.6981,0.0703,NA,NA
"Ghana","women_b12","region/spatial-block CV",TRUE,0.6688,0.0733,0.5383,0.7624
"Ghana","women_b12","random CV + full-data preprocessing (optimistic)",FALSE,0.6477,0.0709,0.5047,0.7597
"Ghana","women_b12","cluster-block CV",TRUE,0.6249,0.0762,0.5071,0.7253
"Ghana","women_folate","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5947,0.2393,NA,NA
"Ghana","women_folate","cluster-block CV",TRUE,0.5945,0.2505,0.534,0.6567
"Ghana","women_folate","random CV + full-data preprocessing (optimistic)",FALSE,0.5917,0.283,0.5169,0.6603
"Ghana","women_folate","region/spatial-block CV",TRUE,0.531,0.2711,0.4654,0.5953
"Ghana","women_iron","PRODUCTION cv_perf (leaky preprocessing, random CV)",FALSE,0.5949,0.0774,NA,NA
"Ghana","women_iron","region/spatial-block CV",TRUE,0.5795,0.0782,0.51,0.6495
"Ghana","women_iron","cluster-block CV",TRUE,0.5714,0.0773,0.4987,0.6391
