"Admin2","country","outcome","support_distance","out_of_support","surveyed","n_svy","small_sample","pi_width","wide_interval","trust"
"Banjul","Gambia","child_vitA",3.347,TRUE,TRUE,97,FALSE,0.318708233516671,FALSE,"Do not rely"
"Kanifing","Gambia","child_vitA",3.468,TRUE,TRUE,72,FALSE,0.326578739842299,FALSE,"Do not rely"
"Jarra East","Gambia","child_vitA",0.572,FALSE,TRUE,52,FALSE,0.349864656995912,FALSE,"OK to use"
"Jarra West","Gambia","child_vitA",0.475,FALSE,TRUE,35,FALSE,0.347246033912149,FALSE,"OK to use"
"Kiang Central","Gambia","child_vitA",0.477,FALSE,TRUE,24,FALSE,0.340024174816685,FALSE,"OK to use"
"Kiang East","Gambia","child_vitA",0.5,FALSE,TRUE,22,FALSE,0.351280137379841,FALSE,"OK to use"
"Fulladu West","Gambia","child_vitA",0.544,FALSE,TRUE,113,FALSE,0.435095621595386,FALSE,"OK to use"
"Lower Saloum","Gambia","child_vitA",0.504,FALSE,TRUE,39,FALSE,0.382831610637601,FALSE,"OK to use"
"Niamina Dankunku","Gambia","child_vitA",0.564,FALSE,TRUE,34,FALSE,0.406424958750513,FALSE,"OK to use"
"Niamina East","Gambia","child_vitA",0.561,FALSE,TRUE,28,FALSE,0.412099108672273,FALSE,"OK to use"
"Niani","Gambia","child_vitA",0.537,FALSE,TRUE,45,FALSE,0.435095621595386,FALSE,"OK to use"
"Nianija","Gambia","child_vitA",0.477,FALSE,TRUE,22,FALSE,0.435095621595386,FALSE,"OK to use"
"Sami","Gambia","child_vitA",0.57,FALSE,TRUE,18,FALSE,0.435095621595386,FALSE,"OK to use"
"Upper Saloum","Gambia","child_vitA",0.561,FALSE,TRUE,10,TRUE,0.435095621595386,FALSE,"Use with caution"
"Central Baddibu","Gambia","child_vitA",0.449,FALSE,TRUE,14,TRUE,0.357142857142857,FALSE,"Use with caution"
"Jokadu","Gambia","child_vitA",0.358,FALSE,TRUE,14,TRUE,0.366336492488468,FALSE,"Use with caution"
"Lower Baddibu","Gambia","child_vitA",0.393,FALSE,TRUE,9,TRUE,0.347523449524673,FALSE,"Use with caution"
"Lower Nuimi","Gambia","child_vitA",0.613,FALSE,TRUE,13,TRUE,0.367879646782986,FALSE,"Use with caution"
"Upper Baddibu","Gambia","child_vitA",0.433,FALSE,TRUE,34,FALSE,0.373282889994297,FALSE,"OK to use"
"Upper Nuimi","Gambia","child_vitA",0.611,FALSE,TRUE,9,TRUE,0.322343131444301,FALSE,"Use with caution"
"Fulladu East","Gambia","child_vitA",0.519,FALSE,TRUE,124,FALSE,0.435095621595386,FALSE,"OK to use"
"Kantora","Gambia","child_vitA",0.541,FALSE,TRUE,16,FALSE,0.435095621595386,FALSE,"OK to use"
"Sandu","Gambia","child_vitA",0.575,FALSE,TRUE,16,FALSE,0.435095621595386,FALSE,"OK to use"
"Wuli","Gambia","child_vitA",0.567,FALSE,TRUE,9,TRUE,0.435095621595386,FALSE,"Use with caution"
"Foni Bintang Karanai","Gambia","child_vitA",0.456,FALSE,TRUE,17,FALSE,0.314912116175944,FALSE,"OK to use"
"Foni Brefet","Gambia","child_vitA",0.608,FALSE,TRUE,12,TRUE,0.293988556626146,FALSE,"Use with caution"
"Kombo Central","Gambia","child_vitA",0.907,FALSE,TRUE,27,FALSE,0.377680344342247,FALSE,"OK to use"
"Kombo East","Gambia","child_vitA",0.664,FALSE,TRUE,20,FALSE,0.304967650303645,FALSE,"OK to use"
"Kombo Saint Mary","Gambia","child_vitA",1.64,FALSE,TRUE,56,FALSE,0.319484394062724,FALSE,"OK to use"
"Kombo South","Gambia","child_vitA",0.944,FALSE,TRUE,19,FALSE,0.295040621944965,FALSE,"OK to use"
"Niamina West","Gambia","child_vitA",0.58,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Jarrol","Gambia","child_vitA",0.463,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Jarra Central","Gambia","child_vitA",0.526,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Bondali","Gambia","child_vitA",0.441,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Janjanbureh","Gambia","child_vitA",0.521,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Foni Kansala","Gambia","child_vitA",0.425,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Kiang West","Gambia","child_vitA",0.371,FALSE,FALSE,NA,FALSE,NA,FALSE,"OK to use"
"Banjul","Gambia","women_vitA",3.347,TRUE,TRUE,232,FALSE,0.0705224752253682,FALSE,"Do not rely"
"Kanifing","Gambia","women_vitA",3.468,TRUE,TRUE,139,FALSE,0.0754062969413643,FALSE,"Do not rely"
"Jarra East","Gambia","women_vitA",0.572,FALSE,TRUE,43,FALSE,0.131518592962987,TRUE,"Use with caution"
"Jarra West","Gambia","women_vitA",0.475,FALSE,TRUE,61,FALSE,0.0802779108858387,FALSE,"OK to use"
"Kiang Central","Gambia","women_vitA",0.477,FALSE,TRUE,20,FALSE,0.0774486190239519,FALSE,"OK to use"
