predictor,family,cellset,z,tau,k_countries,z_undisattenuated,n_cells,n_positive,p_analytic,z_gambia,z_ghana,z_sierraleone,z_malawi,p_perm,p_perm_fwer,q_analytic,q_perm,n_permutations
access_healthcare_min,marginal,shared,1.2598,0.2571,4,1.0783,16,10,0.2077236550885891,0.3367,0.0737,0.5492,-0.1732,0.35528942115768464,1,0.5211638132133352,0.9889169030360333,500
aef_A00,marginal,shared,-0.8327,0.3635,4,-0.9397,16,6,0.40501459853269456,-0.0741,-0.6737,0.4463,-0.2459,0.6946107784431138,1,0.7203107733397922,0.9889169030360333,500
aef_A01,marginal,shared,0.0281,0.8308,4,0.4753,16,7,0.9775924844329921,1.3595,-0.5485,-1.028,0.2469,0.9461077844311377,1,0.9989494079926504,0.9924834346177532,500
aef_A02,marginal,shared,3.13,0.2717,4,2.1576,16,12,0.0017483111716396315,0.4494,0.6624,0.5503,0.1601,0.10578842315369262,1,0.028898555248866854,0.9889169030360333,500
aef_A03,marginal,shared,3.2685,0.3835,4,2.7462,16,15,0.0010811903195807671,0.8868,0.5624,1.0721,0.1219,0.19760479041916168,1,0.019686161469859298,0.9889169030360333,500
aef_A04,marginal,shared,0.1987,0.5214,4,0.047,16,8,0.842530810038198,0.3246,-0.6898,0.765,-0.1366,0.8003992015968064,1,0.9724168427722957,0.9889169030360333,500
aef_A05,marginal,shared,-0.0774,0.4922,4,1.2747,16,11,0.9383151250461046,0.2587,0.5018,-1.2961,0.3708,0.9500998003992016,1,0.9987369323407401,0.9924834346177532,500
aef_A06,marginal,shared,-2.6444,0.4182,4,-2.1963,16,4,0.008184750249877344,-1.0157,-0.4202,-0.834,-0.0412,0.6347305389221557,1,0.07163707257336692,0.9889169030360333,500
aef_A07,marginal,shared,0.9567,0.4032,4,0.4495,16,10,0.33870801680039664,0.2282,-0.3628,0.9819,0.0289,0.5069860279441117,1,0.6860304028869174,0.9889169030360333,500
aef_A08,marginal,shared,-2.0448,0.3692,4,-3.321,16,5,0.040872852489839163,-0.202,-0.9101,0.1703,-0.5422,0.7904191616766467,1,0.18755524437504845,0.9889169030360333,500
aef_A09,marginal,shared,-2.6797,0.4535,4,-2.1251,16,2,0.007368503624453132,-0.6382,-0.3981,-1.5134,-0.0125,0.013972055888223553,1,0.07139825925763207,0.5608782435129741,500
aef_A10,marginal,shared,-1.8377,0.3446,4,-1.2551,16,6,0.06610169363534386,-0.5672,0.1133,-0.8747,-0.0721,0.281437125748503,1,0.23813558860937983,0.9889169030360333,500
aef_A11,marginal,shared,-2.4313,0.452,4,-2.1131,16,1,0.015045523485609176,-0.2531,-0.5223,-1.5263,-0.0206,0.059880239520958084,1,0.08807900207200373,0.9889169030360333,500
aef_A12,marginal,shared,-0.6239,0.7161,4,0.1598,16,5,0.5327248500771484,1.0838,-0.4244,-1.4667,-0.1248,0.12375249500998003,1,0.8176540114045312,0.9889169030360333,500
aef_A13,marginal,shared,-0.5166,0.3556,4,-0.3695,16,8,0.6054633649526222,-0.5608,0.3207,-0.287,0.1013,0.6966067864271457,1,0.8592687149075092,0.9889169030360333,500
aef_A14,marginal,shared,0.4969,0.4873,4,0.8462,16,11,0.6192482590776172,0.3703,0.4828,0.0059,-0.3671,0.3532934131736527,1,0.8700438040040521,0.9889169030360333,500
aef_A15,marginal,shared,0.8836,0.4751,4,1.3795,16,11,0.37688926498502284,0.6432,0.6956,-0.5348,0.0058,0.8143712574850299,1,0.7024712948763667,0.9889169030360333,500
aef_A16,marginal,shared,0.3596,0.1924,4,0.081,16,10,0.7191116323610793,-0.3184,0.1561,0.1201,0.1756,0.7644710578842315,1,0.9355109661734411,0.9889169030360333,500
